Fluxo nas Fronteiras;;;
Nome;Barra Interna;Barra Externa;Circuito
;;;
ANASTACER230;43105;1078;2
ANASTACER230;43104;1078;1
C.G.IMBIRUSSU;1890;43388;1
C.G.IMBIRUSSU;1890;43389;2
C.G.IMBIRUSSU;1890;43367;3
CAMPO GRANDE2;1026;43394;3
CAMPO GRANDE2;1026;43182;1
CAMPO GRANDE2;1026;43183;2
CHAPADAO;1856;1099;1
CHAPADAO;1857;1099;1
CORUMBA;1019;43022;1
CORUMBA;1019;43023;2
DOURADOS;43098;1086;4
DOURADOS;43097;1086;2
DOURADOS;43096;1086;3
DOURADOS;43099;1086;1
DOURADOS 2;10102;10103;1
DOURADOS 2;10102;10105;2
GUAIRA;1091;847;1
IVINHEMA 2;1094;43124;1
IVINHEMA 2;1094;43127;2
JUPIA;1144;541;3
JUPIA;1135;541;1
P. PRIMAVERA;1098;657;1
RIO BRILHANTE;1095;43369;2
RIO BRILHANTE;1095;43371;1
SELVIRIA;1854;1853;1
SIDROLANDIA;1075;43178;1
SIDROLANDIA;1075;43179;2
